step,iStep,iter,tSimu,res0,res1,res2,res3,res4,res5,curDtImplicit,curDtMin,CFLNow,nLimInc,alphaMinInc,nLimBeta,minBeta,nLimAlpha,minAlpha,tWall,telapsed,trec,trhs,tcomm,tLim,tLimiterA,tLimiterB,fluxWall0,fluxWall1,fluxWall2,fluxWall3,fluxWall4,fluxWall5,CL,CD,AoA
1,1,10,0.0000000000e+00,6.2134565291e+00,3.0056840961e+01,3.7316115667e+01,0.0000000000e+00,7.5016541467e+02,3.2601794243e+01,3.0783430372e+93,1.7202758067e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,2.5641555030e+00,1.0304014560e+00,5.7929319000e-02,3.9698396700e-01,2.6663963200e-01,1.3090000001e-05,0.0000000000e+00,1.3278075500e-01,0.0000000000e+00,-2.4537429490e-02,3.3986099094e-01,0.0000000000e+00,-1.0092061787e-20,2.6890871166e-02,6.6926252512e-01,1.2852232057e-01,1.5000000000e+01
1,1,20,0.0000000000e+00,2.0101972162e+00,1.3711849372e+01,1.4717926141e+01,0.0000000000e+00,1.8357014679e+02,2.0248420888e+01,3.0783430372e+93,1.7294773151e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,3.4618878060e+00,8.9754001100e-01,5.5406198000e-02,3.5960604200e-01,1.7648048800e-01,1.2918000000e-05,0.0000000000e+00,1.3328708900e-01,0.0000000000e+00,-4.4343086814e-02,6.9584600520e-01,0.0000000000e+00,-5.1488463011e-21,2.9791388323e-02,1.3672249259e+00,2.7453213166e-01,1.5000000000e+01
1,1,30,0.0000000000e+00,1.4472107665e+00,7.4999812932e+00,6.1027445263e+00,0.0000000000e+00,1.6304058919e+02,1.6822702415e+01,3.0783430372e+93,1.7277924537e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,4.3373038020e+00,8.7528712100e-01,5.8747421000e-02,3.4367822000e-01,1.5284625200e-01,1.3134999999e-05,0.0000000000e+00,1.3228437600e-01,0.0000000000e+00,-1.3400779099e-01,7.8203159946e-01,0.0000000000e+00,-2.0124112195e-23,3.8780490485e-02,1.5801365748e+00,1.4592617114e-01,1.5000000000e+01
1,1,40,0.0000000000e+00,7.9500929692e-01,6.6245863780e+00,4.8882051625e+00,0.0000000000e+00,7.6730048824e+01,1.4862049282e+01,3.0783430372e+93,1.7280802422e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,5.1906275290e+00,8.5317441600e-01,5.5176345000e-02,3.3812215200e-01,1.3485289500e-01,1.2221999998e-05,0.0000000000e+00,1.3241994200e-01,0.0000000000e+00,-1.0294832465e-01,7.4891212411e-01,0.0000000000e+00,-8.9490098102e-22,4.6657507272e-02,1.5000770988e+00,1.8878455054e-01,1.5000000000e+01
1,1,50,0.0000000000e+00,8.2019970736e-01,3.8208159134e+00,3.1118689830e+00,0.0000000000e+00,8.9393603389e+01,2.5201297965e+01,3.0783430372e+93,1.7293376337e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.0851035910e+00,8.9436304300e-01,5.8684404000e-02,3.5233988400e-01,1.7021686500e-01,1.3588000000e-05,0.0000000000e+00,1.3363146600e-01,0.0000000000e+00,-1.0590117964e-01,7.8903442721e-01,0.0000000000e+00,3.2519085188e-21,5.1392386699e-02,1.5791159465e+00,2.0384890511e-01,1.5000000000e+01
1,1,60,0.0000000000e+00,4.4643920370e-01,3.6297087293e+00,2.7643259706e+00,0.0000000000e+00,4.7250106248e+01,5.7565470491e+01,3.0783430372e+93,1.7308563275e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,6.9823274990e+00,8.9708349700e-01,5.5012893000e-02,3.3948607300e-01,1.3564900500e-01,1.3973999997e-05,0.0000000000e+00,1.3361178900e-01,0.0000000000e+00,-1.0142540979e-01,6.8388025885e-01,0.0000000000e+00,4.6862765165e-21,5.3601078425e-02,1.3736568636e+00,1.5806362560e-01,1.5000000000e+01
1,1,70,0.0000000000e+00,4.1574905187e-01,2.2150567146e+00,1.8546653987e+00,0.0000000000e+00,4.3051211799e+01,1.2543164462e+02,3.0783430372e+93,1.7301958525e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,7.8770637150e+00,8.9462335800e-01,5.5497804000e-02,3.4157424100e-01,1.3196912700e-01,1.4910000002e-05,0.0000000000e+00,1.3563216600e-01,0.0000000000e+00,-8.4009983181e-02,7.9723094013e-01,0.0000000000e+00,1.2111504678e-20,5.3101937883e-02,1.5836186764e+00,2.5038227646e-01,1.5000000000e+01
1,1,80,0.0000000000e+00,3.2833577441e-01,2.6357520574e+00,2.1372800596e+00,0.0000000000e+00,3.7742967119e+01,3.1989735343e+02,3.0783430372e+93,1.7358359634e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,8.7273340470e+00,8.5015441000e-01,5.5443734000e-02,3.3546320800e-01,1.3065329600e-01,1.2012999999e-05,0.0000000000e+00,1.3271549900e-01,0.0000000000e+00,-8.5013567445e-02,2.5100126549e-01,0.0000000000e+00,1.4851848278e-20,5.2452171320e-02,5.2890347022e-01,-3.4305785054e-02,1.5000000000e+01
1,1,90,0.0000000000e+00,4.8309292454e-01,3.9369164998e+00,3.5846175372e+00,0.0000000000e+00,5.0679870216e+01,1.0740458557e+03,3.0783430372e+93,1.7297768031e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,9.5969679930e+00,8.6949631600e-01,5.7771818000e-02,3.3706173000e-01,1.4629884700e-01,1.4240000002e-05,0.0000000000e+00,1.3219972000e-01,0.0000000000e+00,-4.8619752495e-02,1.6456548304e-01,0.0000000000e+00,1.0140425724e-20,5.0269481417e-02,3.4308353621e-01,-8.7407868491e-03,1.5000000000e+01
1,1,100,0.0000000000e+00,5.7978620939e-01,4.8968787662e+00,4.3689759647e+00,0.0000000000e+00,6.5439686011e+01,2.2413278204e+03,3.0783430372e+93,1.7304323982e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.0453216444e+01,8.5611071900e-01,5.4916556000e-02,3.3855128000e-01,1.3525858200e-01,1.3124000001e-05,0.0000000000e+00,1.3207009000e-01,0.0000000000e+00,-3.8520732726e-02,3.3893004342e-01,0.0000000000e+00,1.1892127777e-20,4.6583954766e-02,6.7470236302e-01,1.0102675922e-01,1.5000000000e+01
1,1,110,0.0000000000e+00,5.0138426869e-01,3.9876040004e+00,3.2672160309e+00,0.0000000000e+00,5.4000014215e+01,2.6434782443e+03,3.0783430372e+93,1.7297567238e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.1362486246e+01,9.0915120900e-01,5.4992423000e-02,3.4126690900e-01,1.3700748400e-01,1.2823999999e-05,0.0000000000e+00,1.3268143900e-01,0.0000000000e+00,-6.1343298093e-02,4.1468673632e-01,0.0000000000e+00,1.6063553618e-20,4.3258208126e-02,8.3286688453e-01,9.6151498425e-02,1.5000000000e+01
1,1,120,0.0000000000e+00,3.8215107687e-01,2.8590880704e+00,2.1531357737e+00,0.0000000000e+00,4.2607621692e+01,2.5784010700e+03,3.0783430372e+93,1.7293702643e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.2222094184e+01,8.5949284400e-01,5.5028740000e-02,3.3960493000e-01,1.3505442700e-01,1.0418000000e-05,0.0000000000e+00,1.3233848300e-01,0.0000000000e+00,-8.0445958882e-02,5.3956757461e-01,0.0000000000e+00,1.1888208885e-20,3.9251102261e-02,1.0840064032e+00,1.2389107025e-01,1.5000000000e+01
1,1,130,0.0000000000e+00,2.1802743211e-01,1.7309807939e+00,1.2999797307e+00,0.0000000000e+00,2.3235248018e+01,2.1698305266e+03,3.0783430372e+93,1.7293616550e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.3080351139e+01,8.5814360500e-01,5.5466668000e-02,3.3795280500e-01,1.2961004500e-01,1.3669000001e-05,0.0000000000e+00,1.3333604900e-01,0.0000000000e+00,-9.2064304181e-02,6.0045572131e-01,0.0000000000e+00,1.4917006293e-20,3.7231628083e-02,1.2076473681e+00,1.3296417465e-01,1.5000000000e+01
1,1,140,0.0000000000e+00,1.2862541004e-01,9.3602694443e-01,6.5478760557e-01,0.0000000000e+00,1.4221803216e+01,1.6524155560e+03,3.0783430372e+93,1.7297154409e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.3953426624e+01,8.7296209200e-01,5.8810096000e-02,3.3791155100e-01,1.4164398800e-01,1.4564000004e-05,0.0000000000e+00,1.3318649600e-01,0.0000000000e+00,-1.0386063551e-01,6.3754269154e-01,0.0000000000e+00,7.7967167152e-21,3.9509623823e-02,1.2854001233e+00,1.2937304093e-01,1.5000000000e+01
1,1,150,0.0000000000e+00,7.3718495627e-02,6.1356685049e-01,3.8212758464e-01,0.0000000000e+00,8.0935296303e+00,1.9348715102e+03,3.0783430372e+93,1.7298760064e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.4837900047e+01,8.8432607200e-01,5.5016773000e-02,3.4923029800e-01,1.5457064100e-01,1.4857999998e-05,0.0000000000e+00,1.3294948100e-01,0.0000000000e+00,-1.1031947192e-01,6.4288035947e-01,0.0000000000e+00,1.4455430560e-20,4.0826051916e-02,1.2990550456e+00,1.1965850737e-01,1.5000000000e+01
1,1,160,0.0000000000e+00,5.1624177314e-02,3.9483951771e-01,2.2203144746e-01,0.0000000000e+00,5.5591337825e+00,2.1758322606e+03,3.0783430372e+93,1.7298749420e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.5746442316e+01,9.0842346300e-01,5.4702610000e-02,3.3943608000e-01,1.2671477300e-01,1.3899000004e-05,0.0000000000e+00,1.3283174900e-01,0.0000000000e+00,-1.0971784577e-01,6.4443289087e-01,0.0000000000e+00,1.2146927830e-20,4.1292152362e-02,1.3017428813e+00,1.2162440923e-01,1.5000000000e+01
1,1,170,0.0000000000e+00,3.2280511351e-02,2.7853745994e-01,1.5580172820e-01,0.0000000000e+00,3.6693107165e+00,2.2692776008e+03,3.0783430372e+93,1.7298319549e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.6604393124e+01,8.5781787200e-01,5.5347883000e-02,3.4253782600e-01,1.3092999000e-01,1.5943999994e-05,0.0000000000e+00,1.3274953800e-01,0.0000000000e+00,-1.0602402454e-01,6.6228285056e-01,0.0000000000e+00,1.6251803760e-20,4.1160312361e-02,1.3343142929e+00,1.3800014292e-01,1.5000000000e+01
1,1,180,0.0000000000e+00,2.4313691985e-02,2.1548922932e-01,1.2564787757e-01,0.0000000000e+00,2.5532068201e+00,2.3979740955e+03,3.0783430372e+93,1.7298921714e-05,5.0000000000e+01,0,1.0000000000e+00,0,1.0000000000e+00,0,1.0000000000e+00,1.7455709554e+01,8.5119713600e-01,5.4887147000e-02,3.3668443000e-01,1.2263719100e-01,1.4171999993e-05,0.0000000000e+00,1.3272436200e-01,0.0000000000e+00,-1.0198651013e-01,6.9020742152e-01,0.0000000000e+00,1.1326501540e-20,4.0331823639e-02,1.3861704502e+00,1.6025484339e-01,1.5000000000e+01
